Name,Title,Undergraduate College,Degree Year,Major,Stream,Terminal College,Terminal Degree Year,Terminal Major,Terminal Stream,Location,Current Job Title,Current Company,Join Date,Experience,First Listed Job Title,First Listed Company,First Company Join Date,First Company Experience
Stephen A. Schwarzman,Chairman CEO & Co-Founder of the Blackstone Group New York Times Bestselling Author of What It Takes Philanthropist,Yale University,N/A,Bachelor of Arts - BA,N/A,Harvard University,N/A,Master of Business Administration - MBA,N/A,New York New York,Chairman CEO & Co-Founder,The Blackstone Group,1985 � Present,35 yrs,Chairman CEO & Co-Founder,The Blackstone Group,1985 � Present,35 yrs
Indra Nooyi,Former Chairman and CEO of PepsiCo,Madras Christian College,N/A,Bachelor of Science (B.S.),N/A,Yale University - Yale School of Management,N/A,Master in Public and Private Management,N/A,Greater New York City Area,Board of Directors,Amazon,Feb 2019 � Present,1 yr 3 mos,Product Manager,Mettur Beardsell Ltd.,1976 � 1977,1 yr
Laszlo Bock,CEO & Co-founder Humu | "Work Rules!" |  Board Member Heidrick & Struggles | former Google SVP of People Operations,Madras Christian College,N/A,Bachelor of Science (B.S.),N/A,Yale University - Yale School of Management,N/A,Master in Public and Private Management,N/A,Mountain View California United States,Board of Directors,Amazon,Feb 2019 � Present,1 yr 3 mos,Product Manager,Mettur Beardsell Ltd.,1976 � 1977,1 yr
Gabby Cazeau,Investor at Harlem Capital | Engineer | Yale MBA,Washington University in St. Louis,N/A,Bachelor of Science,Chemical Engineering,Yale School of Management,N/A,Master of Business Administration - MBA,N/A,New Haven Connecticut,Senior Associate,Harlem Capital,Sep 2019 � Present,8 mos,Research & Development Intern,General Mills,2013,less than a year
Henry Blodget,CEO and Editor Business Insider,Yale University,N/A,B.A.,History,Yale University,N/A,B.A.,History,New York New York,CEO,Business Insider,Jun 2007 � Present,12 yrs 11 mos,Managing Director Senior Analyst,Merrill Lynch,1999 � 2001,2 yrs
Reshma Saujani,Founder and CEO of Girls Who Code + International Bestselling Author,Yale Law School,N/A,N/A,N/A,Harvard University Kennedy School of Government,1996 � 1999,MPP,Political and Economic Development,New York New York,Founder and CEO,Girls Who Code,Jan 2011 � Present,9 yrs 4 mos,Associate,Davis Polk and Wardwell,2002 � 2006,4 yrs
Jonas Prising,Chairman & CEO of ManpowerGroup leading the world of work into the Human Age.,Stanford University,2001,Executive Education - SEP,N/A,Handelsh�gskolan i Stockholm,1985 � 1989,MBA,Accounting and Finance,Greater Milwaukee Area,Company Name
ManpowerGroup,N/A,21 yrs,N/A,Managing Director UK,Electrolux,Apr 1995 � Jun 1997,2 yrs 3 mos
Charles Duhigg,Writer at The New Yorker,Yale University,1993 � 1997,B.A.,History,Harvard Business School,2001 � 2003,MBA,Business,New York New York,Writer,The New Yorker,Jan 2019 � Present,1 yr 4 mos,Founder / CEO,SWPA Education Management,1999 � 2002,3 yrs
Eric Ries,CEO at Long-Term Stock Exchange,Yale University,1993 � 1997,B.A.,History,Harvard Business School,2001 � 2003,MBA,Business,San Francisco Bay Area,Writer,The New Yorker,Jan 2019 � Present,1 yr 4 mos,Founder / CEO,SWPA Education Management,1999 � 2002,3 yrs
Bruce Katz,Director Nowak Metro Finance Lab,Yale Law School,N/A,Doctor of Law (J.D.),N/A,Brown University,N/A,Bachelor of Arts (B.A.),History,Washington D.C. Metro Area,Director,Drexel University,Jul 2018 � Present,1 yr 10 mos,N/A,N/A,N/A,N/A
Gretchen Rubin,Bestselling writer about habits and happiness at gretchenrubin.com,Yale University,1984 � 1989,BA,English,Yale Law School,1991 � 1994,J.D.,N/A,Greater New York City Area,Bestselling writer; podcaster,gretchenrubin.com,1998 � Present,22 yrs,Bestselling writer; podcaster,gretchenrubin.com,1998 � Present,22 yrs
David L. Katz MD MPH FACPM FACP FACLM,CEO DietID; President True Health Initiative.  Founding Director Yale-Griffin PRC (1998-2019). Health Journalist.,Yale University,1984 � 1989,BA,English,Yale Law School,1991 � 1994,J.D.,N/A,Hamden Connecticut United States,Bestselling writer; podcaster,gretchenrubin.com,1998 � Present,22 yrs,Bestselling writer; podcaster,gretchenrubin.com,1998 � Present,22 yrs
